,index,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,max_sentence,crime_types_combined,crime_class_type_subtype
568,570,2010,2013,Black,0,D Felony,Property,Burglary,Parole,5JD,1,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
569,571,2010,2013,Hispanic,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
570,572,2010,2013,Black,1,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
571,573,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,4JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
572,574,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,4JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
573,575,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,5JD,0,1,1,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
574,576,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,5JD,0,1,1,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
575,577,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,5JD,0,1,1,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
576,578,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,5JD,0,1,1,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
577,579,2010,2013,Black,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
578,580,2010,2013,White,3,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Public Order_Sex Offender Registry/Residency,D Felony_Public Order_Sex Offender Registry/Residency
579,581,2010,2013,Black,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,1,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
580,582,2010,2013,Black,3,C Felony,Property,Burglary,Parole,6JD,0,1,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
581,583,2010,2013,White,2,D Felony,Property,Arson,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Arson,D Felony_Property_Arson
582,584,2010,2013,Black,0,D Felony,Drug,Other Drug,Parole,3JD,0,1,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
583,585,2010,2013,White,4,B Felony,Drug,Trafficking,Parole,3JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
584,586,2010,2013,Black,3,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,1,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
585,587,2010,2013,White,3,Felony - Enhanced,Property,Arson,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Property_Arson,Felony - Enhanced_Property_Arson
586,588,2010,2013,White,3,C Felony,Violent,Assault,Parole,1JD,0,1,1,1,10.0,Violent_Assault,C Felony_Violent_Assault
587,589,2010,2013,American Native,2,D Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Violent_Murder/Manslaughter,D Felony_Violent_Murder/Manslaughter
588,590,2010,2013,Black,3,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Sex,C Felony_Violent_Sex
589,591,2010,2013,Black,3,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Sex,C Felony_Violent_Sex
590,592,2010,2013,Black,3,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Sex,C Felony_Violent_Sex
591,593,2010,2013,White,1,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
592,594,2010,2013,White,0,C Felony,Drug,Trafficking,Parole,8JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
593,595,2010,2013,American Native,0,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
594,596,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Parole,6JD,1,1,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
595,597,2010,2013,White,1,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,2JD,0,1,0,0,2.0,Property_Forgery/Fraud,Aggravated Misdemeanor_Property_Forgery/Fraud
596,598,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
597,599,2010,2013,White,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Violent_Assault,D Felony_Violent_Assault
598,600,2010,2013,White,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Violent_Assault,D Felony_Violent_Assault
599,601,2010,2013,Black,1,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
600,602,2010,2013,Hispanic,0,D Felony,Drug,Trafficking,Parole,8JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
601,603,2010,2013,White,4,C Felony,Violent,Kidnap,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Kidnap,C Felony_Violent_Kidnap
602,604,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
603,605,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
604,606,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
605,607,2010,2013,Black,4,D Felony,Drug,Drug Possession,Parole,1JD,0,1,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
606,608,2010,2013,Black,4,D Felony,Drug,Drug Possession,Parole,1JD,0,1,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
607,609,2010,2013,White,3,D Felony,Drug,Drug Possession,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
608,610,2010,2013,Black,2,C Felony,Violent,Robbery,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Robbery,C Felony_Violent_Robbery
609,611,2010,2013,Black,2,C Felony,Violent,Robbery,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Robbery,C Felony_Violent_Robbery
610,612,2010,2013,White,1,D Felony,Property,Theft,Parole,2JD,0,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
611,613,2010,2013,White,1,D Felony,Property,Theft,Parole,2JD,0,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
612,614,2010,2013,White,1,D Felony,Property,Theft,Parole,2JD,0,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
613,615,2010,2013,Hispanic,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Property_Theft,D Felony_Property_Theft
614,616,2010,2013,Hispanic,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Property_Theft,D Felony_Property_Theft
615,617,2010,2013,Hispanic,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Property_Theft,D Felony_Property_Theft
616,618,2010,2013,Hispanic,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Property_Theft,D Felony_Property_Theft
617,619,2010,2013,White,1,D Felony,Property,Burglary,Parole,5JD,1,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
618,620,2010,2013,Hispanic,0,D Felony,Property,Vandalism,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Property_Vandalism,D Felony_Property_Vandalism
619,621,2010,2013,Hispanic,2,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Public Order_Alcohol,Aggravated Misdemeanor_Public Order_Alcohol
620,622,2010,2013,White,0,D Felony,Property,Burglary,Parole,1JD,0,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
621,623,2010,2013,White,0,D Felony,Property,Burglary,Parole,1JD,0,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
622,624,2010,2013,White,0,D Felony,Property,Burglary,Parole,1JD,0,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
623,625,2010,2013,White,0,D Felony,Property,Burglary,Parole,1JD,0,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
624,626,2010,2013,Black,0,C Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Assault,C Felony_Violent_Assault
625,627,2010,2013,Black,3,Felony - Enhanced,Drug,Drug Possession,Parole,1JD,1,1,0,1,10.0,Drug_Drug Possession,Felony - Enhanced_Drug_Drug Possession
626,628,2010,2013,White,3,D Felony,Violent,Assault,Parole,8JD,1,1,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
627,629,2010,2013,Black,2,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
628,630,2010,2013,Black,3,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Property_Forgery/Fraud,Aggravated Misdemeanor_Property_Forgery/Fraud
629,631,2010,2013,Hispanic,2,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Public Order_OWI,Aggravated Misdemeanor_Public Order_OWI
630,632,2010,2013,Hispanic,2,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Public Order_OWI,Aggravated Misdemeanor_Public Order_OWI
631,633,2010,2013,White,2,C Felony,Property,Stolen Property,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Property_Stolen Property,C Felony_Property_Stolen Property
632,634,2010,2013,White,0,C Felony,Property,Arson,Parole,5JD,0,1,0,1,10.0,Property_Arson,C Felony_Property_Arson
633,635,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,1,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
634,636,2010,2013,White,2,C Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Property_Theft,C Felony_Property_Theft
635,637,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,3JD,0,1,1,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
636,638,2010,2013,White,2,D Felony,Property,Theft,Parole,2JD,1,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
637,639,2010,2013,White,2,D Felony,Drug,Trafficking,Parole,6JD,1,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
638,640,2010,2013,White,1,Felony - Enhanced,Violent,Sex,Parole,2JD,0,1,0,1,10.0,Violent_Sex,Felony - Enhanced_Violent_Sex
639,641,2010,2013,White,0,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Property_Burglary,Aggravated Misdemeanor_Property_Burglary
640,642,2010,2013,White,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
641,643,2010,2013,White,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
642,644,2010,2013,White,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
643,645,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,Parole,7JD,0,1,1,0,2.0,Public Order_Prostitution/Pimping,Aggravated Misdemeanor_Public Order_Prostitution/Pimping
644,646,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Parole,2JD,1,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
645,647,2010,2013,White,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,1,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
646,648,2010,2013,White,1,D Felony,Public Order,OWI,Parole,7JD,1,1,1,1,5.0,Public Order_OWI,D Felony_Public Order_OWI
647,649,2010,2013,Black,0,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
648,650,2010,2013,Hispanic,0,D Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
649,651,2010,2013,Asian or Pacific Islander,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
650,652,2010,2013,Black,1,Felony - Enhanced,Public Order,Weapons,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Public Order_Weapons,Felony - Enhanced_Public Order_Weapons
651,653,2010,2013,White,2,C Felony,Drug,Trafficking,Parole,8JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
652,654,2010,2013,White,3,C Felony,Drug,Trafficking,Parole,6JD,1,1,1,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
653,655,2010,2013,Black,3,D Felony,Drug,Trafficking,Parole,1JD,1,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
654,656,2010,2013,White,3,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
655,657,2010,2013,White,3,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
656,658,2010,2013,White,3,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
657,659,2010,2013,White,1,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
658,660,2010,2013,White,4,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Drug_Drug Possession,Aggravated Misdemeanor_Drug_Drug Possession
659,661,2010,2013,Hispanic,0,D Felony,Property,Burglary,Parole,5JD,1,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
660,662,2010,2013,White,3,D Felony,Property,Arson,Parole,2JD,0,1,0,1,5.0,Property_Arson,D Felony_Property_Arson
661,663,2010,2013,Black,1,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
662,664,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
663,665,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
664,666,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
665,667,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
666,668,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
667,669,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
668,670,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
669,671,2010,2013,White,3,B Felony,Drug,Trafficking,Parole,5JD,0,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
670,672,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Public Order_Sex Offender Registry/Residency,Aggravated Misdemeanor_Public Order_Sex Offender Registry/Residency
671,673,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Public Order_Sex Offender Registry/Residency,Aggravated Misdemeanor_Public Order_Sex Offender Registry/Residency
672,674,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Public Order_Sex Offender Registry/Residency,Aggravated Misdemeanor_Public Order_Sex Offender Registry/Residency
673,675,2010,2013,Black,0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
674,676,2010,2013,White,2,Felony - Enhanced,Public Order,OWI,Parole,8JD,1,1,0,1,10.0,Public Order_OWI,Felony - Enhanced_Public Order_OWI
675,677,2010,2013,Hispanic,4,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
676,678,2010,2013,Hispanic,3,D Felony,Public Order,OWI,Parole,5JD,0,1,0,1,5.0,Public Order_OWI,D Felony_Public Order_OWI
677,679,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,3JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
678,680,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,3JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
679,681,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,3JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
680,682,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,3JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
681,683,2010,2013,Black,2,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,1,0,1,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
682,684,2010,2013,White,3,C Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Assault,C Felony_Violent_Assault
683,685,2010,2013,White,4,D Felony,Drug,Other Drug,Parole,5JD,0,1,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
684,686,2010,2013,White,1,D Felony,Public Order,Traffic,Parole,3JD,0,1,0,1,5.0,Public Order_Traffic,D Felony_Public Order_Traffic
685,687,2010,2013,White,3,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
686,688,2010,2013,Hispanic,2,Aggravated Misdemeanor,Property,Theft,Parole,1JD,0,1,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
687,689,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,3JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
688,690,2010,2013,White,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,1,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
689,691,2010,2013,Black,2,D Felony,Drug,Drug Possession,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
690,692,2010,2013,Black,1,D Felony,Other,Other Criminal,Parole,6JD,0,1,0,1,5.0,Other_Other Criminal,D Felony_Other_Other Criminal
691,693,2010,2013,American Native,3,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
692,694,2010,2013,American Native,0,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Public Order_OWI,Aggravated Misdemeanor_Public Order_OWI
693,695,2010,2013,White,1,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Drug_Drug Possession,Aggravated Misdemeanor_Drug_Drug Possession
694,696,2010,2013,White,1,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Drug_Drug Possession,Aggravated Misdemeanor_Drug_Drug Possession
695,697,2010,2013,White,1,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Drug_Drug Possession,Aggravated Misdemeanor_Drug_Drug Possession
696,698,2010,2013,White,1,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Drug_Drug Possession,Aggravated Misdemeanor_Drug_Drug Possession
697,699,2010,2013,American Native,2,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
698,700,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
699,701,2010,2013,Hispanic,1,C Felony,Property,Burglary,Parole,8JD,0,1,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
700,702,2010,2013,White,1,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,5JD,0,1,1,0,2.0,Property_Forgery/Fraud,Aggravated Misdemeanor_Property_Forgery/Fraud
701,703,2010,2013,Asian or Pacific Islander,2,C Felony,Drug,Trafficking,Parole,6JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
702,704,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
703,705,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
704,706,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
705,707,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
706,708,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
707,709,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
708,710,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
709,711,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
710,712,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
711,713,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
712,714,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
713,715,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
714,716,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
715,717,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
716,718,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
717,719,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
718,720,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
719,721,2010,2013,Black,0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
720,722,2010,2013,White,1,B Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Violent_Sex,B Felony_Violent_Sex
721,723,2010,2013,White,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Theft,D Felony_Property_Theft
722,724,2010,2013,White,3,Felony - Enhanced,Drug,Trafficking,Parole,2JD,0,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
723,725,2010,2013,Black,2,D Felony,Drug,Drug Possession,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
724,726,2010,2013,White,0,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
725,727,2010,2013,White,0,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
726,728,2010,2013,Black,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
727,729,2010,2013,Black,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
728,730,2010,2013,Black,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
729,731,2010,2013,Black,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
730,732,2010,2013,Asian or Pacific Islander,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
731,733,2010,2013,White,0,D Felony,Property,Theft,Parole,7JD,0,1,1,1,5.0,Property_Theft,D Felony_Property_Theft
732,734,2010,2013,White,2,D Felony,Property,Theft,Parole,6JD,1,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
733,735,2010,2013,Hispanic,1,B Felony,Property,Arson,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Property_Arson,B Felony_Property_Arson
734,736,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
735,737,2010,2013,Black,0,C Felony,Property,Theft,Parole,7JD,1,1,0,1,10.0,Property_Theft,C Felony_Property_Theft
736,738,2010,2013,White,1,C Felony,Property,Burglary,Parole,4JD,0,1,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
737,739,2010,2013,White,1,Serious Misdemeanor,Violent,Sex,Special Sentence,5JD,1,1,0,0,1.0,Violent_Sex,Serious Misdemeanor_Violent_Sex
