Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Female
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Hispanic,35-44,D Felony,Violent,Other Violent,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,68,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,8JD,Yes,197,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,1017,Aggravated Misdemeanor,Violent,Assault,No,New,Male
2011,2014,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,B Felony,Violent,Murder/Manslaughter,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,C Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,Yes,406,,,,Yes,Tech,Male
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,949,,,,Yes,Tech,Male
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,266,Aggravated Misdemeanor,Property,Forgery/Fraud,No,New,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,5JD,Yes,255,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,5JD,Yes,898,D Felony,Violent,Murder/Manslaughter,Yes,New,Male
2011,2014,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,B Felony,Other,Other Criminal,Parole,5JD,Yes,1095,D Felony,Property,Theft,Yes,New,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,593,C Felony,Drug,Trafficking,No,New,Male
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,473,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
2011,2014,White - Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,C Felony,Property,Arson,Parole,7JD,No,,,,,Yes,No Recidivism,Female
2011,2014,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,553,Aggravated Misdemeanor,Public Order,OWI,No,New,Male
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,Interstate Compact,Yes,145,Felony - Enhancement to Original Penalty,Property,Forgery/Fraud,No,New,Female
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,500,D Felony,Public Order,Traffic,No,New,Male
2011,2014,White - Non-Hispanic,35-44,Serious Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,45-54,C Felony,Violent,Kidnap,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,7JD,No,,,,,Yes,No Recidivism,Female
2011,2014,White - Non-Hispanic,45-54,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Assault,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,1JD,No,,,,,Yes,No Recidivism,Female
2011,2014,Black - Non-Hispanic,35-44,C Felony,Violent,Sex,Special Sentence,3JD,Yes,277,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,2JD,Yes,278,D Felony,Public Order,Weapons,Yes,New,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,230,D Felony,Property,Theft,Yes,New,Male
2011,2014,White - Non-Hispanic,55 and Older,B Felony,Violent,Robbery,Parole,8JD,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,D Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,1088,D Felony,Drug,Drug Possession,No,New,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,243,Aggravated Misdemeanor,Violent,Assault,No,New,Male
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,155,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,55 and Older,C Felony,Violent,Robbery,Parole,8JD,Yes,41,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,55 and Older,C Felony,Property,Burglary,Discharged – End of Sentence,,Yes,945,Aggravated Misdemeanor,Property,Theft,No,New,Male
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,842,D Felony,Violent,Assault,No,New,Male
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Interstate Compact,Yes,350,D Felony,Drug,Drug Possession,Yes,New,Male
2011,2014,Black - Non-Hispanic,45-54,C Felony,Violent,Sex,Special Sentence,,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,6JD,Yes,879,D Felony,Public Order,OWI,Yes,New,Male
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,Yes,411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,493,C Felony,Property,Burglary,No,New,Female
2011,2014,White - Non-Hispanic,45-54,C Felony,Violent,Sex,Parole,3JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,C Felony,Violent,Robbery,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,230,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Parole,1JD,Yes,678,D Felony,Violent,Assault,Yes,New,Male
2011,2014,American Indian or Alaska Native - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,American Indian or Alaska Native - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Drug,Other Drug,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,Other Public Order,Parole,6JD,No,,,,,Yes,No Recidivism,Female
2011,2014,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,8JD,Yes,155,,,,Yes,Tech,Female
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,1JD,Yes,325,Felony - Enhancement to Original Penalty,Violent,Kidnap,Yes,New,Male
2011,2014,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Female
2011,2014,White - Non-Hispanic,Under 25,C Felony,Violent,Sex,Special Sentence,4JD,Yes,126,,,,Yes,Tech,Male
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,American Indian or Alaska Native - Non-Hispanic,55 and Older,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,5JD,Yes,491,,,,Yes,Tech,Male
2011,2014,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Vandalism,Parole,1JD,Yes,134,Aggravated Misdemeanor,Violent,Assault,Yes,New,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Murder/Manslaughter,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,5JD,Yes,364,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Traffic,Parole,3JD,Yes,36,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,234,,,,Yes,Tech,Female
2011,2014,Black - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole,8JD,Yes,1087,C Felony,Drug,Trafficking,Yes,New,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,307,D Felony,Property,Burglary,No,New,Female
2011,2014,Black - Non-Hispanic,35-44,B Felony,Other,Other Criminal,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,B Felony,Violent,Murder/Manslaughter,Parole,3JD,Yes,275,,,,Yes,Tech,Female
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Special Sentence,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,718,D Felony,Public Order,Traffic,No,New,Male
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,3JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,3JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,No,,,,,Yes,No Recidivism,Female
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Parole,5JD,Yes,21,Aggravated Misdemeanor,Public Order,Alcohol,Yes,New,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Female
2011,2014,White - Hispanic,55 and Older,D Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,8JD,Yes,82,,,,Yes,Tech,Male
2011,2014,Black - Non-Hispanic,25-34,D Felony,Other,Other Criminal,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,45-54,C Felony,Property,Burglary,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,Yes,596,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Arson,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,670,Aggravated Misdemeanor,Violent,Assault,No,New,Male
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,5JD,Yes,743,,,,Yes,Tech,Female
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Parole,3JD,Yes,203,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,2JD,No,,,,,Yes,No Recidivism,Female
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Special Sentence,4JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,Under 25,B Felony,Violent,Other Violent,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Hispanic,25-34,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,994,Aggravated Misdemeanor,Drug,Drug Possession,Yes,New,Female
2011,2014,White - Non-Hispanic,45-54,C Felony,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Property,Theft,Parole,,Yes,908,D Felony,Property,Theft,Yes,New,Male
2011,2014,White - Hispanic,Under 25,D Felony,Violent,Assault,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,45-54,D Felony,Violent,Assault,Parole,1JD,Yes,599,D Felony,Violent,Assault,Yes,New,Male
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,2JD,No,,,,,Yes,No Recidivism,Female
2011,2014,White - Non-Hispanic,45-54,Serious Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,55 and Older,D Felony,Property,Forgery/Fraud,Parole,1JD,No,,,,,Yes,No Recidivism,Female
2011,2014,Black - Non-Hispanic,45-54,C Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,45-54,C Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Hispanic,Under 25,D Felony,Property,Vandalism,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,55 and Older,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Assault,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,701,C Felony,Property,Burglary,No,New,Male
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,Yes,1017,Aggravated Misdemeanor,Violent,Assault,No,New,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,OWI,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,55 and Older,B Felony,Drug,Trafficking,Parole,7JD,Yes,225,,,,Yes,Tech,Female
2011,2014,White - Non-Hispanic,35-44,C Felony,Violent,Sex,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,613,C Felony,Drug,Trafficking,No,New,Male
2011,2014,White - Hispanic,25-34,C Felony,Violent,Robbery,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,3JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,3JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,265,D Felony,Property,Theft,No,New,Male
2011,2014,Black - Non-Hispanic,55 and Older,D Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole,Interstate Compact,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,5JD,No,,,,,Yes,No Recidivism,Female
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,5JD,No,,,,,Yes,No Recidivism,Female
2011,2014,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,1JD,Yes,153,,,,Yes,Tech,Male
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,823,Aggravated Misdemeanor,Property,Theft,No,New,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Female
2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,425,C Felony,Drug,Trafficking,No,New,Male
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
